Gene Symbol	Name	Entrez GeneId	Genome Location	Tier	Hallmark	Chr Band	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome	Tissue Type	Molecular Genetics	Role in Cancer	Mutation Types	Translocation Partner	Other Germline Mut	Other Syndrome	Synonyms
NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	4893	1:114708535-114716160	1	Yes	1p13.2	yes		"melanoma, MM, AML, thyroid"			"L, E"	Dom	oncogene	Mis				"4893,ENSG00000213281,NRAS,P01111"
NRG1	neuregulin 1	3084	8:32548727-32764402	1		8p12	yes		NSCLC			E	Dom	"TSG, fusion"	T	CD74			"3084,ENSG00000157168,HGL,NRG1,NRG1-IT2,Q02297"
NSD1	nuclear receptor binding SET domain protein 1	64324	5:177135104-177295459	1		5q35	yes		AML			L	Dom	fusion	T	NUP98	yes	Sotos Syndrome	"64324,ENSG00000165671,NSD1,Q96L73,STO"
NT5C2	"5'-nucleotidase, cytosolic II"	22978	10:103089672-103174958	1		10q24.32	yes		relapse ALL			L	Dom	oncogene	Mis		yes	Spastic paraplegia-45	"22978,ENSG00000076685,NT5B,NT5C2,P49902"
NTHL1	nth like DNA glycosylase 1	4913	16:2093568-2097848	2		16p13.3		yes	CRC		Familial adenomatous polyposis	E		TSG	"N, S"				
NTRK1	"neurotrophic tyrosine kinase, receptor, type 1"	4914	1:156860935-156881642	1		1q21-q22	yes		"papillary thyroid, Spitzoid tumour"			E	Dom	"oncogene, TSG, fusion"	"T, A"	"TPM3, TPR, TFG, TP53, LMNA"			"4914,ENSG00000198400,NTRK1,P04629"
NTRK3	"neurotrophic tyrosine kinase, receptor, type 3"	4916	15:87876935-88256153	1		15q25	yes		"congenital fibrosarcoma, secretory breast"			"E, M"	Dom	"oncogene, fusion"	T	ETV6			"4916,ENSG00000140538,NTRK3,Q16288"
NUMA1	nuclear mitotic apparatus protein 1	4926	11:72003527-72035943	1		11q13	yes		APL			L	Dom	fusion	T	RARA			"4926,ENSG00000137497,NUMA1,Q14980"
NUP214	nucleoporin 214kDa (CAN)	8021	9:131125705-131233487	1		9q34.1	yes		"AML, T-ALL"			L	Dom	fusion	T	"DEK, SET, ABL1"			"8021,ENSG00000126883,NUP214,P35658"
NUP98	nucleoporin 98kDa	4928	11:3676159-3782117	1		11p15	yes		AML			L	Dom	"oncogene, fusion"	T	"HOXA9, NSD1, WHSC1L1, DDX10, TOP1, HOXD13, PRRX1, HOXA13, HOXD11, HOXA11, RAP1GDS1, HOXC11"			"4928,ENSG00000110713,NUP98,P52948"
NUTM1	"NUT midline carcinoma, family member 1"	256646	15:34346021-34357492	1		15q14	yes		lethal midline carcinoma			E	Dom	"oncogene, fusion"	T	"BRD3, BRD4"			"256646,C15orf55,ENSG00000184507,NUTM1,Q86Y26"
NUTM2A	NUT family member 2A	728118	10:87358266-87367372	1		10q23.2	yes		endometrial stromal sarcoma			M	Dom	fusion	T	YWHAE			"ENSG00000214562,FAM22D,NUTM2D,Q5VT03"
NUTM2B	NUT family member 2B	729262	10:79703610-79712485	1		10q22.3	yes		endometrial stromal sarcoma			M	Dom	fusion	T	YWHAE			"729262,A6NNL0,ENSG00000188199,FAM22B,NUTM2B"
OLIG2	oligodendrocyte lineage transcription factor 2 (BHLHB1)	10215	21:33026863-33027834	1		21q22.11	yes		T-ALL			L	Dom	"oncogene, fusion"	T	TRA			"10215,BHLHB1,ENSG00000205927,OLIG2,PRKCBP2,Q13516"
OMD	osteomodulin	4958	9:92415152-92417558	2		9q22.31	yes		aneurysmal bone cyst			M	Dom	fusion	T	USP6			"4958,ENSG00000127083,OMD,Q99983"
P2RY8	"purinergic receptor P2Y, G-protein coupled, 8"	286530	"X,Y:1465479-1466558"	1		"Xp22.3; Yp11.3"	yes		"B-ALL, Down syndrome associated ALL"			L	Dom	"oncogene, fusion"	T	CRLF2			"286530,ENSG00000182162,P2RY8,Q86VZ1"
PABPC1	poly(A) binding protein cytoplasmic 1	26986	8:100704298-100721583	2		8q22.3	yes		"HNSCC, biliary tract carcinoma"			E		"oncogene, TSG"	"Mis, F"				"26986,ENSG00000070756,P11940,PAB1,PABPC1,PABPC2"
PAFAH1B2	"platelet-activating factor acetylhydrolase, isoform Ib, beta subunit 30kDa"	5049	11:117152449-117167700	1	Yes	11q23	yes		MLCLS			L	Dom	fusion	T	IGH			"5049,ENSG00000168092,P68402,PAFAH1B2"
PALB2	partner and localizer of BRCA2	79728	16:23603459-23641157	1		16p12.1		yes		"Wilms tumour, medulloblastoma, AML ,breast"	"Fanconi anaemia N, breast cancer susceptibility"	"L, O, E"	Rec	TSG	"F, N, Mis"				"79728,ENSG00000083093,PALB2,Q86YC2"
PAX3	paired box gene 3	5077	2:222201174-222298615	1	Yes	2q35	yes		alveolar rhabdomyosarcoma			M	Dom	"oncogene, fusion"	T	"FOXO1, NCOA1, NCOA2"	yes	"Waardenburg syndrome; craniofacial-deafness-hand syndrome"	"5077,ENSG00000135903,P23760,PAX3,WS1"
PAX5	paired box gene 5 (B-cell lineage specific activator protein)	5079	9:36840560-37034031	1	Yes	9p13	yes		"NHL, ALL, B-ALL"			L	Dom	"oncogene, TSG, fusion"	"T, Mis, D, F, S"	"IGH, ETV6, PML, FOXP1, ZNF521, ELN"			"5079,ENSG00000196092,PAX5,Q02548"
PAX7	paired box gene 7	5081	1:18631604-18736039	1	Yes	1p36.2-p36.12	yes		alveolar rhabdomyosarcoma			M	Dom	fusion	T	FOXO1			"5081,ENSG00000009709,P23759,PAX7"
PAX8	paired box gene 8	7849	2:113218533-113278394	1	Yes	2q12-q14	yes		follicular thyroid			E	Dom	fusion	T	PPARG	yes	Thyroid dysgenesis	"7849,ENSG00000125618,PAX8,Q06710"
PBRM1	polybromo 1	55193	3:52548063-52679711	1		3p21	yes		"clear cell renal carcinoma, breast"			E	Rec	TSG	"Mis, N, F, S, D, O"				"55193,ENSG00000163939,PBRM1,Q86U86"
PBX1	pre-B-cell leukemia transcription factor 1	5087	1:164559824-164846677	1	Yes	1q23	yes		"pre B-ALL, myoepithelioma"			"L, M"	Dom	"oncogene, fusion"	T	"TCF3, EWSR1"			"5087,ENSG00000185630,P40424,PBX1"
PCBP1	poly(rC) binding protein 1	5093	2:70087744-70088814	2		2p13.3	yes		CRC			E			Mis				"5093,ENSG00000169564,PCBP1,Q15365"
PCM1	pericentriolar material 1  (PTC4)	5108	8:17935611-18027662	1		8p22-p21.3	yes		"papillary thyroid, CML, MPN"			"E, L"	Dom	fusion	T	"RET, JAK2"			"5108,ENSG00000078674,PCM1,Q15154"
PDCD1LG2	programmed cell death 1 ligand 2	80380	9:5522547-5569959	1	Yes	9p24.2	yes		"PMBL, Hodgkin lymphoma"			L	Dom	"oncogene, fusion"	T	CIITA			"80380,ENSG00000197646,PDCD1LG2,Q9BQ51"
PDE4DIP	phosphodiesterase 4D interacting protein (myomegalin)	9659	1:148889754-149031985	1		1q12	yes		MPN			L	Dom	fusion	T	PDGFRB			"9659,CMYA2,ENSG00000178104,PDE4DIP,Q5VU43"
PDGFB	platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog)	5155	22:39225723-39243963	1		22q12.3-q13.1	yes		DFSP			M	Dom	"oncogene, fusion"	T	COL1A1			"5155,ENSG00000100311,P01127,PDGFB,SIS"
PDGFRA	"platelet-derived growth factor, alpha-receptor"	5156	4:54258769-54295272	1		4q11-q13	yes	yes	"GIST, idiopathic hypereosinophilic syndrome, paediatric glioblastoma"	GIST	familial gastrointestinal stromal tumour	"L, M, O"	Dom	"oncogene, fusion"	"Mis, O, T"	FIP1L1			"5156,ENSG00000134853,P16234,PDGFRA"
PDGFRB	"platelet-derived growth factor receptor, beta polypeptide"	5159	5:150115763-150137047	1		5q31-q32	yes		"MPN, AML, CMML, CML"			L	Dom	"oncogene, fusion"	T	"ETV6, TRIP11, HIP1, RABEP1, H4, NIN, SPECC1, PDE4DIP"			"5159,ENSG00000113721,P09619,PDGFR,PDGFRB"
PER1	period homolog 1 (Drosophila)	5187	17:8141068-8150706	1	Yes	17p13.1-17p12	yes		"AML, CMML"			L	Dom	"TSG, fusion"	T	ETV6			"5187,ENSG00000179094,O15534,PER,PER1"
PHF6	PHD finger protein 6	84295	X:134377618-134425330	1		Xq26.3	yes		ETP ALL			L	Rec	TSG	"F, N, S, Mis"		yes	Boerjeson-Forssman-Lehmann syndrome	"84295,BFLS,BORJ,ENSG00000156531,PHF6,Q8IWS0"
PHOX2B	paired-like homeobox 2b	8929	4:41745807-41748610	1	Yes	4p12	yes	yes	neuroblastoma	neuroblastoma	familial neuroblastoma	O	Rec	TSG	"Mis, F"		yes	Congenital central hypoventilation syndrome	"8929,ENSG00000109132,PHOX2B,PMX2B,Q99453"
PICALM	phosphatidylinositol binding clathrin assembly protein (CALM)	8301	11:85959046-86068780	1	Yes	11q14	yes		"T-ALL, AML"			L	Dom	fusion	T	"MLLT10, KMT2A"			"8301,ENSG00000073921,PICALM,Q13492"
PIK3CA	"phosphoinositide-3-kinase, catalytic, alpha polypeptide"	5290	3:179198826-179234364	1	Yes	3q26.3	yes		"colorectal, gastric, glioblastoma, breast"			"E, O"	Dom	oncogene	Mis				"5290,ENSG00000121879,P42336,PIK3CA"
PIK3CB	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta"	5291	3:138655389-138759343	1	Yes	3q22.3	yes		"SCC, NSCLC"			E		oncogene	Mis				"5291,ENSG00000051382,P42338,PIK3C1,PIK3CB"
PIK3R1	"phosphoinositide-3-kinase, regulatory subunit 1 (alpha)"	5295	5:68226676-68297601	1	Yes	5q13.1	yes		"glioblastoma, ovarian, colorectal"			"E, O"	Rec	TSG	"Mis, F, O"				"5295,ENSG00000145675,P27986,PIK3R1"
PIM1	pim-1 oncogene	5292	6:37170576-37174091	1	Yes	6p21.2	yes		NHL			L	Dom	"oncogene, fusion"	"T, Mis"	BCL6			"5292,ENSG00000137193,P11309,PIM,PIM1"
PLAG1	pleiomorphic adenoma gene 1	5324	8:56166243-56168269	1		8q12	yes		"salivary adenoma, lipoblastoma"			E	Dom	"oncogene, fusion"	T	"TCEA1, LIFR, CTNNB1, CHCHD7, COL1A2, HAS2"			"5324,ENSG00000181690,PLAG1,Q6DJT9"
PLCG1	"phospholipase C, gamma 1"	5335	20:41137642-41174509	1		20q12-q13.1	yes		angiosarcoma			E	Dom	"oncogene, fusion"	Mis				"5335,ENSG00000124181,P19174,PLC1,PLCG1"
PML	promyelocytic leukemia	5371	15:73994813-74045008	1		15q22	yes		"APL, ALL"			L	Dom	"TSG, fusion"	T	"RARA, PAX5"			"5371,ENSG00000140464,P29590,PML"
PMS1	PMS1 postmeiotic segregation increased 1 (S. cerevisiae)	5378	2:189791810-189877436	2		2q31-q33		yes		"colorectal, endometrial, ovarian"	hereditary non-polyposis colorectal cancer	E	Rec		"Mis, N"				"5378,ENSG00000064933,P54277,PMS1,PMSL1"
PMS2	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)	5395	7:5973399-6009019	1	Yes	7p22		yes		"colorectal, endometrial, ovarian, medulloblastoma, glioma"	"hereditary non-polyposis colorectal cancer, Turcot syndrome"	E	Rec	TSG	"Mis, N, F"				"5395,ENSG00000122512,P54278,PMS2,PMSL2"
POLD1	"DNA polymerase delta 1, catalytic subunit"	5424	19:50398852-50417947	1		19q13.3	yes	yes	CRC	CRC	Lynch syndrome	E		TSG	Mis				"5424,ENSG00000062822,P28340,POLD,POLD1"
POLE	"polymerase (DNA directed), epsilon, catalytic subunit"	5426	12:132624697-132687315	1		12q24.3	yes	yes	"colorectal carcinoma, endometrioid carcinoma, stomach carcinoma, skin cancer"	colorectal cancer susceptibility		E	Rec	TSG	Mis		yes	FILS syndrome	"5426,ENSG00000177084,POLE,Q07864"
POLG	"DNA polymerase gamma, catalytic subunit"	5428	15:89316751-89333754	2		15q26.1	yes		CRC			E		TSG	"N, O"		yes	mitochondrial DNA depletion syndrome	"5428,ENSG00000140521,P54098,POLG"
POLQ	DNA polymerase theta	10721	3:121432304-121546641	1		3q13.33	yes	yes	oral SCC	breast cancer		E		"oncogene, TSG"	Mis				"10721,ENSG00000051341,POLQ"
POT1	protection of telomeres 1	25913	7:124823962-124897173	1		7q31.33	yes		CLL			L	Dom	TSG	"Mis, N"				"25913,ENSG00000128513,POT1,Q9NUX5"
POU2AF1	"POU domain, class 2, associating factor 1 (OBF1)"	5450	11:111354261-111379177	1	Yes	11q23.1	yes		NHL			L	Dom	"oncogene, fusion"	T	BCL6			"5450,ENSG00000110777,POU2AF1,Q16633"
POU5F1	"POU domain, class 5, transcription factor 1"	5460	6:31164601-31170620	1	Yes	6p21.31	yes		sarcoma			M	Dom	"oncogene, fusion"	T	EWSR1			"5460,ENSG00000204531,OTF3,POU5F1,Q01860"
PPARG	"peroxisome proliferative activated receptor, gamma"	5468	3:12351593-12434145	1	Yes	3p25	yes		follicular thyroid			E	Dom	"TSG, fusion"	T	PAX8	yes	"Insulin resistance ; lipodystrophy, familial partial L;diabetes mellitus, insulin-resistantI, with acanthosis nigricans and hypertension"	"5468,ENSG00000132170,P37231,PPARG"
PPFIBP1	"PTPRF interacting protein, binding protein 1 (liprin beta 1)"	8496	12:27633397-27692882	1		12p12.1	yes		"Spitzoid tumour, inflammatory myofibroblastic tumour"			"E, M"	Dom	fusion	T	"ROS1, ALK"			"8496,ENSG00000110841,PPFIBP1,Q86W92"
PPM1D	"protein phosphatase, Mg2+/Mn2+ dependent 1D"	8493	17:60600415-60663552	1	Yes	17q23.3	yes		"glioma, ovarian cancer, breast cancer"			E	Dom	oncogene	"A, Mis, N, F"				"8493,ENSG00000170836,O15297,PPM1D"
PPP2R1A	"protein phosphatase 2, regulatory subunit A, alpha"	5518	19:52190097-52225981	1		19q13.41	yes		clear cell ovarian carcinoma			E	Dom	TSG	Mis				"5518,ENSG00000105568,P30153,PPP2R1A"
PPP6C	"protein phosphatase 6, catalytic subunit"	5537	9:125149673-125189718	1	Yes	9q33.3	yes		melanoma			E	Dom	TSG	"Mis, N"				"5537,ENSG00000119414,O00743,PPP6C"
PRCC	papillary renal cell carcinoma (translocation-associated)	5546	1:156767772-156800460	1		1q21.1	yes		papillary renal			E	Dom	fusion	T	TFE3			"5546,ENSG00000143294,PRCC,Q92733"
PRDM1	"PR domain containing 1, with ZNF domain"	639	6:106088267-106107486	1		6q21	yes		DLBCL			L	Rec	TSG	"D, N, Mis, F, S"				"639,BLIMP1,ENSG00000057657,O75626,PRDM1"
PRDM16	PR domain containing 16	63976	1:3069260-3433811	1	Yes	1p36.23-p33	yes		"MDS, AML"			L	Dom	"oncogene, fusion"	T	MECOM			"63976,ENSG00000142611,PRDM16,Q9HAZ2"
PRDM2	PR/SET domain 2	7799	1:13715606-13816547	2		1p36.21	yes		"glioma, colon adenocarcinoma, gastric carcinoma, ovarian carcinoma, HNSCC"			"E, O"		TSG	"O, F"				"7799,ENSG00000116731,PRDM2,Q13029"
PREX2	"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2"	80243	8:67952395-68231378	1	Yes	8q13.2	yes		"melanoma, pancreatic ductal adenocarcinoma"			E	Dom	oncogene	"Mis, N"				"80243,DEPDC2,ENSG00000046889,PREX2,Q70Z35"
PRF1	perforin 1 (pore forming protein)	5551	10:70598053-70600902	1		10q22		yes		"various leukaemia, lymphoma"		L	Rec	TSG	M		yes	Type 2 familial haemophagocytic lymphohistiocytosis	"5551,ENSG00000180644,P14222,PRF1"
PRKACA	protein kinase cAMP-activated catalytic subunit alpha	5566	19:14093112-14117547	1	Yes	19p13.1	yes		"fibrolamellar hepatocellular carcinoma, cortisol secreting adrenal adenoma"			E	Dom	oncogene	"T, Mis, N"	DNAJB1			"5566,ENSG00000072062,P17612,PRKACA"
PRKAR1A	"protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)"	5573	17:68515400-68530449	1	Yes	17q23-q24	yes	yes	papillary thyroid	"myxoma, endocrine, papillary thyroid"	Carney complex	"E, M"	Dom/Rec	"oncogene, TSG, fusion"	"T, Mis, N, F, S"	RET			"5573,ENSG00000108946,P10644,PRKAR1,PRKAR1A,TSE1"
PRKCB	protein kinase C beta	5579	16:23836176-24214816	2		16p12.2-p12.1	yes		adult T-cell lymphoma-leukaemia			L			Mis				"5579,ENSG00000166501,P05771,PKCB,PRKCB,PRKCB1,PRKCB2"
PRPF40B	pre-mRNA processing factor 40 homolog B	25766	12:49630608-49644192	2		12q13.12	yes		"melanoma, colon carcinoma, MDS"			"E, L"			"F, N"				"25766,ENSG00000110844,PRPF40B,Q6NWY9"
PRRX1	paired related homeobox 1	5396	1:170664220-170730332	1		1q24	yes		AML			L	Dom	fusion	T	NUP98			"5396,ENSG00000116132,P54821,PMX1,PRRX1"
PSIP1	PC4 and SFRS1 interacting protein 1 (LEDGF)	11168	9:15471207-15510188	1	Yes	9p22.3	yes		AML			L	Dom	"oncogene, fusion"	T	NUP98			"11168,ENSG00000164985,O75475,PSIP1,PSIP2"
PTCH1	Homolog of Drosophila Patched gene	5727	9:95446912-95508361	1		9q22.3	yes	yes	"skin basal cell, medulloblastoma"	"skin basal cell, medulloblastoma"	nevoid basal cell carcinoma syndrome	"E, M"	Rec	TSG	"Mis, N, F, S"				"5727,ENSG00000185920,NBCCS,PTCH,PTCH1,Q13635"
PTEN	phosphatase and tensin homolog gene	5728	10:87864470-87965472	1	Yes	10q23.3	yes	yes	"glioma, prostate, endometrial"	"harmartoma, glioma, prostate, endometrial"	"Cowden syndrome, Bannayan-Riley-Ruvalcaba syndrome"	"L, E, M, O"	Dom	TSG	"D, Mis, N, F, S"				"5728,BZS,ENSG00000171862,MHAM,P60484,PTEN"
PTK6	protein tyrosine kinase 6	5753	20:63529536-63537314	1	Yes	20q13.3	yes		"renal, gastric, head and neck, ovarian, others"			E	Dom	"oncogene, TSG"	"Mis, N"				"5753,ENSG00000101213,PTK6,Q13882"
PTPN11	"protein tyrosine phosphatase, non-receptor type 11"	5781	12:112419112-112504764	1		12q24.1	yes		"JMML, AML, MDS"			L	Dom	oncogene	Mis		yes	Noonan Syndrome	"5781,ENSG00000179295,NS1,PTPN11,Q06124"
PTPN13	"protein tyrosine phosphatase, non-receptor type 13"	5783	4:86635257-86814551	1	Yes	4q21.3	yes	yes	"lung, NSCLC, gastric, peritoneal carcinomatosis"	hepatocellular	Familial Hepatocellular Carcinoma	E	Rec	TSG	"Mis, N"				"5783,ENSG00000163629,PTPN13,Q12923"
PTPN6	"protein tyrosine phosphatase, non-receptor type 6"	5777	12:6951513-6960864	2		12p13.31	yes		DLBCL			L		TSG	Mis				"5777,ENSG00000111679,P29350,PTPN6"
PTPRB	"protein tyrosine phosphatase, receptor type, B"	5787	12:70521489-70609814	1		12q15-q21	yes		angiosarcoma			E	Rec	TSG	"N, Mis, S, F"				"5787,ENSG00000127329,P23467,PTPB,PTPRB"
PTPRC	"protein tyrosine phosphatase, receptor type, C"	5788	1:198639275-198756181	1		1q31-q32	yes		T-ALL			L	Rec	TSG	"Mis, N, S"				"5788,CD45,ENSG00000081237,PTPRC"
PTPRD	"protein tyrosine phosphatase, receptor type D"	5789	9:8317874-8733843	2		9p24.1-p23	yes		"lung cancer, kidney cancer, HNSCC, glioblastoma"			"E, O"		TSG	"D, N, Mis"				"5789,ENSG00000153707,P23468,PTPRD"
PTPRK	"protein tyrosine phosphatase, receptor type, K"	5796	6:127970227-128520358	1		6q22.2-q22.3	yes		colorectal			E	Dom	"TSG, fusion"	T	RSPO3			"5796,ENSG00000152894,PTPRK,Q15262"
PTPRT	"protein tyrosine phosphatase, receptor type T"	11122	20:42080879-43189733	1	Yes	20q12-q13	yes		"HNSCC, colorectal cancer, gastric cancer, lung cancer, melanoma"			E		TSG	"Mis, N"				"11122,ENSG00000196090,O14522,PTPRT"
PWWP2A	PWWP domain containing 2A	114825	5:160078155-160119388	2		5q33.3	yes		Spitzoid tumour			E	Dom	fusion	T	ROS1			"114825,ENSG00000170234,PWWP2A,Q96N64"
QKI	"QKI, KH domain containing, RNA binding"	9444	6:163415194-163570710	1	Yes	6q26	yes		"angiocentric glioma, colorectal cancer"			"E, O"	Dom	"oncogene, TSG"	"Mis, F, T"	MYB			"9444,ENSG00000112531,Q96PU8,QKI"
RABEP1	"rabaptin, RAB GTPase binding effector protein 1"	9135	17:5282488-5383224	1	Yes	17p13.2	yes		CMML			L	Dom	fusion	T	PDGFRB			"9135,ENSG00000029725,Q15276,RABEP1"
RAC1	"ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)"	5879	7:6374736-6402446	1	Yes	7p22	yes		"melanoma, carcinoma"			E	Dom	oncogene	"Mis, F"				"5879,ENSG00000136238,P63000,RAC1"
RAD17	RAD17 checkpoint clamp loader component	5884	5:68677728-68677884	2		5q13.2	yes		"lymphoma, colon cancer"			"E, L"		TSG	D				
RAD21	RAD21 homolog (S. pombe)	5885	8:116847500-116866729	1	Yes	8q24.11	yes		"AML, endometrium, colorectal, lung"			"L, E"	Rec	"oncogene, TSG"	"Mis, N, F"		yes	Cornelia de Lange syndrome-4	"5885,ENSG00000164754,O60216,RAD21"
RAD51B	RAD51 paralog B	5890	14:67823544-68594603	1		14q23-q24.2	yes		"lipoma, uterine leiomyoma"			M	Dom	"TSG, fusion"	T	HMGA2			"5890,ENSG00000182185,O15315,RAD51B,RAD51L1"
RAF1	v-raf-1 murine leukemia viral oncogene homolog 1	5894	3:12584514-12618721	1	Yes	3p25	yes		"pilocytic astrocytoma, prostate"			"O, E"	Dom	"oncogene, fusion"	"T, A"	"SRGAP3, ESRP1"			"5894,ENSG00000132155,P04049,RAF1"
RALGDS	ral guanine nucleotide dissociation stimulator	5900	9:133098587-133121154	2		9q34.3	yes		"PMBL, Hodgkin lymphoma,"			L	Dom	fusion	T	CIITA			"5900,ENSG00000160271,Q12967,RALGDS"
RANBP2	RAN binding protein 2	5903	2:108719607-108783901	1	Yes	2q12.3	yes		inflammatory myofibroblastic tumour			M	Dom	"TSG, fusion"	T	ALK			"5903,ANE1,ENSG00000153201,P49792,RANBP2"
RAP1GDS1	"RAP1, GTP-GDP dissociation stimulator 1"	5910	4:98261566-98442117	1	Yes	4q21-q25	yes		T-ALL			L	Dom	"oncogene, fusion"	T	NUP98			"5910,ENSG00000138698,P52306,RAP1GDS1"
RARA	"retinoic acid receptor, alpha"	5914	17:40331219-40356226	1		17q12	yes		APL			L	Dom	"oncogene, fusion"	T	"PML, ZBTB16, TRIM24, NUMA1, NPM1"			"5914,ENSG00000131759,P10276,RARA"
RB1	retinoblastoma gene	5925	13:48303913-48480071	1	Yes	13q14	yes	yes	"retinoblastoma, sarcoma, breast, small cell lung carcinoma"	"retinoblastoma, sarcoma, breast, small cell lung carcinoma"	familial retinoblastoma	"L, E, M, O"	Rec	TSG	"D, Mis, N, F, S"				"5925,ENSG00000139687,OSRC,P06400,RB1"
RBM10	RNA binding motif protein 10	8241	X:47147482-47186599	1	Yes	Xp11.3	yes		lung adenocarcinoma			E	Rec/X	TSG	"Mis, F, N"		yes	TARP syndrome	"8241,ENSG00000182872,P98175,RBM10"
RBM15	RNA binding motif protein 15	64783	1:110339407-110345610	1	Yes	1p13	yes		acute megakaryocytic leukaemia			L	Dom	fusion	T	MKL1			"64783,ENSG00000162775,Q96T37,RBM15"
RECQL4	RecQ protein-like 4	9401	8:144511431-144517784	1	Yes	8q24.3		yes		"osteosarcoma, skin basal cell, skin sqamous cell"	Rothmund-Thompson syndrome	M	Rec	"oncogene, TSG"	"N, F, S"				"9401,ENSG00000160957,RECQ4,RECQL4,RTS,RecQ4"
REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)	5966	2:60881841-60922535	1		2p13-p12	yes		Hodgkin lymphoma			L	Dom	oncogene	A				"5966,ENSG00000162924,Q04864,REL"
RET	ret proto-oncogene	5979	10:43077259-43128269	1		10q11.2	yes	yes	"medullary thyroid, papillary thyroid, pheochromocytoma, NSCLC, Spitzoid tumour"	"medullary thyroid,  papillary thyroid, pheochromocytoma"	multiple endocrine neoplasia 2A/2B	"E, O"	Dom	"oncogene, fusion"	"T, Mis, N, F"	"H4, PRKAR1A, NCOA4, PCM1, GOLGA5, TRIM33, KTN1, TRIM27, HOOK3, KIF5B, CCDC6"	yes	Hirschsprung disease	"5979,ENSG00000165731,HSCR1,MEN2A,MEN2B,MTC1,P07949,RET"
RFWD3	ring finger and WD repeat domain 3	55159	16:74623928-74661449	2		16q23.1	yes	yes	lung cancer		Fanconi anemia W	E		TSG	D				"55159,ENSG00000168411,Q6PCD5,RFWD3"
RGPD3	RANBP2-like and GRIP domain containing 3	653489	2:106405219-106468288	2		2q12.2	yes		endometrioid adenocarcinoma			E			Mis				"653489,A6NKT7,ENSG00000153165,RGPD3"
RGS7	regulator of G protein signaling 7	6000	1:240776163-241355776	2		1q43	yes		melanoma			E			Mis				"6000,ENSG00000182901,P49802,RGS7"
RHOA	ras homolog family member A	387	3:49360209-49375589	1	Yes	3p21.3	yes		"diffuse gastric, T cell lymphomas, paediatric Burkitt lymphoma"			"E, L"	Dom	"oncogene, TSG"	"Mis, F, O"				"387,ARH12,ARHA,ENSG00000067560,P61586,RHOA"
RHOH	ras homolog family member H	399	4:40243387-40243962	1	Yes	4p13	yes		NHL			L	Dom	"TSG, fusion"	T	BCL6			"399,ARHH,ENSG00000168421,Q15669,RHOH"
RMI2	RecQ mediated genome instability 2	116028	16:11345472-11350790	1		16p13.13	yes		"PMBL, Hodgkin lymphoma"			L	Dom	"TSG, fusion"	T	CIITA			"116028,C16orf75,ENSG00000175643,Q96E14,RMI2"
RNF213	ring finger protein 213	57674	17:80340149-80393498	1	Yes	17q25.3	yes		ALCL			L	Dom	fusion	T	ALK			"57674,C17orf27,ENSG00000173821,KIAA1618,MYMY2,RNF213"
RNF43	ring finger protein 43	54894	17:58354943-58415577	1	Yes	17q23.2	yes		"cholangiocarcinoma, ovary, pancreas"			E	Rec	TSG	"Mis, N, F, S"				"54894,ENSG00000108375,Q68DV7,RNF43"
ROBO2	roundabout guidance receptor 2	6092	3:77040786-77646055	2		3p12.3	yes		"colorectal adenocarcinoma, melanoma"			E		TSG	F				"6092,ENSG00000185008,Q9HCK4,ROBO2"
ROS1	v-ros UR2 sarcoma virus oncogene homolog 1 (avian)	6098	6:117288492-117425656	1	Yes	6q22	yes		"glioblastoma, NSCLC, Spitzoid tumour, cholangiocarcinoma, borderline ovarian"			"O, E"	Dom	"oncogene, fusion"	T	"GOPC, SDC4, SLC34A2, EZR, LRIG3, HLA-A, MYO5A, PPFIBP1, ERC1, CLIP1, TPM3, ZCCHHC8, KIAA1598, PWWP2A"			"6098,ENSG00000047936,P08922,ROS1"
RPL10	ribosomal protein L10	6134	X:154398520-154400854	1		Xq28	yes		T-ALL			L	Dom	TSG	Mis				"6134,ENSG00000147403,P27635,RPL10"
RPL22	ribosomal protein L22 (EAP)	6146	1:6186672-6199573	1		1p36.31	yes		"AML, CML"			L	Dom	"TSG, fusion"	T	RUNX1			"6146,ENSG00000116251,P35268,RPL22"
RPL5	ribososomal protein L5	6125	1:92832115-92841865	1		1p22.1	yes		T-ALL			L	Dom	TSG	"Mis, N, F"		yes	Diamond-Blackfan anaemia	"6083,ENSG00000122406,P46777,RPL5"
RPN1	ribophorin I	6184	3:128620411-128650800	1		3q21.3-q25.2	yes		AML			L	Dom	fusion	T	MECOM			"6184,ENSG00000163902,P04843,RPN1"
RSPO2	R-spondin 2	340419	8:107901075-108082638	1		8q23.1	yes		colorectal			E	Dom	"TSG, fusion"	T	EIF3E			"340419,ENSG00000147655,Q6UXX9,RSPO2"
